entry_id,thread_title,post_text_clean,post_text,post_timestamp,post_number_in_thread,post_id,post_link,post_user,post_user_badge,post_user_profile_image,post_user_link,post_reply_to_post_number,post_reply_to_post_link,post_reply_to_post_id
0,New to MS," Firstly I'm relieved to know that there is a forum such as this for people suffering with MS can turn to and I want to use this time to also introduce myself, my name is Kelly I'm 34 and live on Newcastle in the north east. I have recently been diagnosed with relapse and remission type MS - and I'm waiting next week to speak to my specialist team. Atthe time of learning about my diagnosiswas so crushing. That said,I have also become a new mamfor the first time a year ago which is the best experienceof my life to date. Admittedly though there has been a lot of times where I have found myself worrying about what my future holds and if I can remain a good parent to my daughter Matilda. I guess these are questions any new mum asks themselves, however, I find myself questioning my abilities for different reasons. I am extremely lucky that I have a loving and supportive family and friends (who have been amazing)including a marvellous husband,so I will never be alone or lack people to talk to. I mainly wanted to know how others found hearing theirdiagnoses made them feel, I am really struggling at the moment and have had to seek help to cope with negative thoughts and feelings towards myselfby going tocounsellingand attending talking therapy/CBTsessions. Did others find these helpful when dealing with anxiety and low moods?   Warmest regards  Kelly Wright  ","<p>Firstly I'm relieved to know that there is a forum such as this for people suffering with MS can turn to and I want to use this time to also introduce myself, my name is Kelly I'm 34 and live on Newcastle in the north east. I have recently been diagnosed with relapse and remission type MS - and I'm waiting next week to speak to my specialist team. Atthe time of learning about my diagnosiswas so crushing. That said,I have also become a new mamfor the first time a year ago which is the best experienceof my life to date. Admittedly though there has been a lot of times where I have found myself worrying about what my future holds and if I can remain a good parent to my daughter Matilda. I guess these are questions any new mum asks themselves, however, I find myself questioning my abilities for different reasons. I am extremely lucky that I have a loving and supportive family and friends (who have been amazing)including a marvellous husband,so I will never be alone or lack people to talk to. I mainly wanted to know how others found hearing theirdiagnoses made them feel, I am really struggling at the moment and have had to seek help to cope with negative thoughts and feelings towards myselfby going tocounsellingand attending talking therapy/CBTsessions. Did others find these helpful when dealing with anxiety and low moods? </p><p>Warmest regards</p><p>Kelly Wright<img alt=""laugh"" height=""23"" src=""https://community.mssociety.org.uk/sites/all/libraries/ckeditor/plugins/smiley/images/teeth_smile.png"" width=""23""></p>",01 Jan  2020 at 1:30 pm,#1,87001,https://community.mssociety.org.uk/forums/new-diagnosis-and-diagnosis/new-ms-8,kelly80schild,,"<img src=""https://community.mssociety.org.uk/sites/default/files/styles/ms_user_myhomepage/public/E4CC4786-E73E-4CF6-A7D2-2622A840C019.jpeg?itok=d_AV5buo"">",https://community.mssociety.org.uk/users/kelly80schild,,,
1,New to MS," Hi Kelly  Didn't want to read and not comment. I am not yet diagnosed, but going through mri testing at the moment. I too find it tough on the mind, feel like I've constantly got a tension headache with the worry of it all. I get by by keeping busy with the family, I find this helps alot. I know others are worrying about me too, which is hard.  It's lovely that you have a supportive network around you, and a wonderful little one to keep you smiling. In the past I've used forums as a way of speaking with others that are going through the same issues, I find this helps me cope.  Take care x ","<p>Hi Kelly</p><p>Didn't want to read and not comment. I am not yet diagnosed, but going through mri testing at the moment. I too find it tough on the mind, feel like I've constantly got a tension headache with the worry of it all. I get by by keeping busy with the family, I find this helps alot. I know others are worrying about me too, which is hard.</p><p>It's lovely that you have a supportive network around you, and a wonderful little one to keep you smiling. In the past I've used forums as a way of speaking with others that are going through the same issues, I find this helps me cope.</p><p>Take care x</p>",07 Jan  2020 at 1:24 pm,#2,418550,https://community.mssociety.org.uk/comment/418550#comment-418550,mrsc,,,https://community.mssociety.org.uk/users/mrsc,,,
2,New to MS," Hi, Im new to this group. Im not diagnosed yet awaiting more tests! I believe Ive had a bout of optic neuritis in July last year but Ive been to several opticians/ ophthalmologists who are all telling me I havent. Ive had a brain mri in August which was clear, but i know that doesnt rule ms out. I have tingling and numbness and my eye still isnt back to normal. My gp thinks its anxiety, which I do agree I have as my mom passed away in April last year and then in July my partner was diagnosed with a terminal brain tumour, but Im not convinced anxiety can cause all these symptoms. I had a problem about 7 years ago with my vision too, so I think that was the start of it. 
Has anyone else had a similar experience with being told its not optic neuritis when they have all the symptoms?? 
Many thanks xx ","<p>Hi, Im new to this group. Im not diagnosed yet awaiting more tests! I believe Ive had a bout of optic neuritis in July last year but Ive been to several opticians/ ophthalmologists who are all telling me I havent. Ive had a brain mri in August which was clear, but i know that doesnt rule ms out. I have tingling and numbness and my eye still isnt back to normal. My gp thinks its anxiety, which I do agree I have as my mom passed away in April last year and then in July my partner was diagnosed with a terminal brain tumour, but Im not convinced anxiety can cause all these symptoms. I had a problem about 7 years ago with my vision too, so I think that was the start of it.<br>
Has anyone else had a similar experience with being told its not optic neuritis when they have all the symptoms??<br>
Many thanks xx</p>",07 Jan  2020 at 4:35 pm,#3,418559,https://community.mssociety.org.uk/comment/418559#comment-418559,deg78,,,https://community.mssociety.org.uk/users/deg78,,,
3,Absolutely Petrified!!!," Hi,  As per my title I am absolutely petrified right now and convinced I have all the symptoms of MS.   About 10 days ago I noticed that I was getting numbness in my left foot which carried on for a few days and continued on and off up my leg. On Friday I woke up in the middle of the night and was completely numb down my left side which freaked me out and I took myself to A&amp;E where I had a CT scan and some blood tests before being admitted to the stroke ward as the only thing they could think of was that I had a possible minor stroke. They advised I needed an MRI scan however as it was now the weekend and I wouldn't be able to have onethey felt they could discharge me and have one as an urgent outpatient which I am having this weekend.  My symptoms currently are a strange feeling in my left leg including on and off pins and needles and numbness. When I first noticed this I also had pins and needles in my face and felt like I was dribbling as well as having issues on a couple of occasions getting my words out.Over the last couple of days my feet particularly my left one has been freezing cold also. My left buttock is also numb and sorry to much information but I feel like the left side of my vagina is too. I do not think I have had a stroke as I did not loose strength at all.   ive obviously been checking my symptoms online and convinced I have MS which is scaring me!! I don't know what to do. I expect I need to wait for my head MRI on Sunday and the results as this should pick up possible ms?   sorry I just need to talk to someone,    thank you, Jo ","<p>Hi,</p><p>As per my title I am absolutely petrified right now and convinced I have all the symptoms of MS.<br></p><p>About 10 days ago I noticed that I was getting numbness in my left foot which carried on for a few days and continued on and off up my leg. On Friday I woke up in the middle of the night and was completely numb down my left side which freaked me out and I took myself to A&amp;E where I had a CT scan and some blood tests before being admitted to the stroke ward as the only thing they could think of was that I had a possible minor stroke. They advised I needed an MRI scan however as it was now the weekend and I wouldn't be able to have onethey felt they could discharge me and have one as an urgent outpatient which I am having this weekend.</p><p>My symptoms currently are a strange feeling in my left leg including on and off pins and needles and numbness. When I first noticed this I also had pins and needles in my face and felt like I was dribbling as well as having issues on a couple of occasions getting my words out.Over the last couple of days my feet particularly my left one has been freezing cold also. My left buttock is also numb and sorry to much information but I feel like the left side of my vagina is too. I do not think I have had a stroke as I did not loose strength at all.<br></p><p>ive obviously been checking my symptoms online and convinced I have MS which is scaring me!! I don't know what to do. I expect I need to wait for my head MRI on Sunday and the results as this should pick up possible ms?<br></p><p>sorry I just need to talk to someone,</p><p></p><p>thank you, Jo</p>",02 Jan  2020 at 10:16 pm,#1,87010,https://community.mssociety.org.uk/forums/new-diagnosis-and-diagnosis/absolutely-petrified,thfcjo,,,https://community.mssociety.org.uk/users/thfcjo,,,
4,Absolutely Petrified!!!," Yeah well, NEVER DO A DR GOOGLE. Theres a reason they send drs to ned schools for 4 years......After an MRI you will probably see a neurologist and he/she will be able to tell you. It may not be MS, could be many things. Try and relax a bit. ","<p>Yeah well, NEVER DO A DR GOOGLE. Theres a reason they send drs to ned schools for 4 years......After an MRI you will probably see a neurologist and he/she will be able to tell you. It may not be MS, could be many things. Try and relax a bit.</p>",03 Jan  2020 at 12:14 pm,#2,418420,https://community.mssociety.org.uk/comment/418420#comment-418420,reddivine,,"<img src=""https://community.mssociety.org.uk/sites/default/files/styles/ms_user_myhomepage/public/Hadleyedi.jpg?itok=td_7ks4Y"">",https://community.mssociety.org.uk/users/reddivine,,,
5,Nystagmus and eye problems," Good Morning all.  hope everyone is having a good Monday.   quick question, can nystagmus come on and last a few seconds and then stop? I have just been looking at my phone and the writing was shaking, lasted maybe 15 seconds and then it's stopped. I'm also getting double vision when I look at certain things and black dots when I look at white backgrounds.  Can you get ON and Nystagmus at the same time?    thank you for listening    Stacey ","<p>Good Morning all.</p><p>hope everyone is having a good Monday.<br></p><p>quick question, can nystagmus come on and last a few seconds and then stop?<br>I have just been looking at my phone and the writing was shaking, lasted maybe 15 seconds and then it's stopped. I'm also getting double vision when I look at certain things and black dots when I look at white backgrounds.</p><p>Can you get ON and Nystagmus at the same time?</p><p></p><p>thank you for listening</p><p></p><p>Stacey</p>",16 Dec  2019 at 11:53 am,#1,86929,https://community.mssociety.org.uk/forums/new-diagnosis-and-diagnosis/nystagmus-and-eye-problems,staceyleigh,,,https://community.mssociety.org.uk/users/staceyleigh,,,
6,Nystagmus and eye problems, Hi Stacey. Don't know about nystagmus coming and going. I was diagnosed with a definate nystagmus in may along with all the other symptoms. Mine is constant My eyes flick to the left everytime I blink and quite often my eyes look down towards my nose. ,<p>Hi Stacey. Don't know about nystagmus coming and going. I was diagnosed with a definate nystagmus in may along with all the other symptoms. Mine is constant My eyes flick to the left everytime I blink and quite often my eyes look down towards my nose.</p>,16 Dec  2019 at 9:49 pm,#2,417943,https://community.mssociety.org.uk/comment/417943#comment-417943,deb74,,,https://community.mssociety.org.uk/users/deb74,,,
7,Nystagmus and eye problems," Hi Stacey, 
I'm sorry, I can't answer your question...but I also have vision problems that come and go. I was diagnosed with relapsing MS only a few weeks ago. I've noticed for some time that I have problems with some patterns (usually things that line up) and writing. It too comes and goes. Seems worse when I'm really tired and having a 'bad' day! I'm hoping to ask this question when I see my neurologist next month. 
Best Wishes, Claire ","<p>Hi Stacey,<br>
I'm sorry, I can't answer your question...but I also have vision problems that come and go. I was diagnosed with relapsing MS only a few weeks ago. I've noticed for some time that I have problems with some patterns (usually things that line up) and writing. It too comes and goes. Seems worse when I'm really tired and having a 'bad' day! I'm hoping to ask this question when I see my neurologist next month.<br>
Best Wishes, Claire</p>",18 Dec  2019 at 4:53 pm,#3,418023,https://community.mssociety.org.uk/comment/418023#comment-418023,mayclaire,,,https://community.mssociety.org.uk/users/mayclaire,,,
8,Nystagmus and eye problems," Hi Claire, that's okay. Just intrigued as some days my eyes are fine. But others weird things happen. More so at night. When my eyes are closed, I get flashing lights or feeling my eyes are flickering in my eyelids, and then had once or twice situations where I get double vision or the writing shaking on the screen. Which has freaked me out. But it's not constant. be interesting to know if this thing is normal and if anyone else has any problems like this and if they go away.    could you let me know what they say when you go. I'm still awaiting my MRI results back. So no one to really ask about these things.    thank you  stacey ","<p>Hi Claire, that's okay. Just intrigued as some days my eyes are fine. But others weird things happen. More so at night. When my eyes are closed, I get flashing lights or feeling my eyes are flickering in my eyelids, and then had once or twice situations where I get double vision or the writing shaking on the screen. Which has freaked me out. But it's not constant.<br>be interesting to know if this thing is normal and if anyone else has any problems like this and if they go away.</p><p></p><p>could you let me know what they say when you go. I'm still awaiting my MRI results back. So no one to really ask about these things.</p><p></p><p>thank you</p><p>stacey</p>",18 Dec  2019 at 9:25 pm,#4,418028,https://community.mssociety.org.uk/comment/418028#comment-418028,staceyleigh,,,https://community.mssociety.org.uk/users/staceyleigh,(Reply to #3),https://community.mssociety.org.uk/forums/new-diagnosis-and-diagnosis/nystagmus-and-eye-problems#comment-418023,418023
9,Nystagmus and eye problems," Stacey,  My nystagmus comes and goes. Some days it's really bad and then other days hardly noticeable. Anything with a pattern will set it off. Some days the whole world moves all the time and then on others I can feel it but not see it and then on others it isn't there at all.  ","<p>Stacey,</p><p>My nystagmus comes and goes. Some days it's really bad and then other days hardly noticeable. Anything with a pattern will set it off. Some days the whole world moves all the time and then on others I can feel it but not see it and then on others it isn't there at all. </p>",04 Jan  2020 at 2:31 pm,#5,418459,https://community.mssociety.org.uk/comment/418459#comment-418459,ohilovebiscuits,,,https://community.mssociety.org.uk/users/ohilovebiscuits,,,
