Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
healthier,0.999656,POS,Y,"No diet has been proven to actually help (folks will swear by their diet, though) - but keeping generally healthy eating habits helps because being <span class=""OP"">healthier</span> overall helps.","Honestly just eat <span class=""OP"">healthier</span> and work out as much as you can (which is what you seem to already be doing), and you'll be fine.","That doesnÃ¢ÂÂt take it away, but it puts me in a <span class=""OP"">healthier</span> mindset.","That doesnÃ¢ÂÂt take it away, but it puts me in a <span class=""OP"">healthier</span> mindset.","I'm trying to use this as motivation to get <span class=""OP"">healthier</span> one day at a time.","Well done getting <span class=""OP"">healthier</span> yourself too.","I started exercising a lot too (got a trampoline) and started eating <span class=""OP"">healthier</span> as well.","Stopping smoking by itself makes massive changes to your body, so I wouldn't be surprised if that had a lot to do with your energy levels, but certainly losing weight and eating <span class=""OP"">healthier</span> will do that as well.","But I also feel much <span class=""OP"">healthier</span> so positives either way!","She has out-lived many other <span class=""OP"">healthier</span> relatives.","Oddly I got rid of it purely by accident after starting to eat <span class=""OP"">healthier</span> and going on a diet.","Not from the medication, but I started dieting a few months ago to get <span class=""OP"">healthier</span> after all the steroids I've had this year - and I hadn't gained any weight between starting the Ocrevus and starting dieting.","and you'll raise a <span class=""OP"">healthier</span> son by doing that.","I'm learning to focus on <span class=""OP"">healthier</span> things that will be good for my body long term, because by doing that I have more control than just giving up and self sabotaging.","Diet is good, in terms of eating <span class=""OP"">healthier</span> and such, but don't advocate it as your primary ""treatment."","","","","","",
serious,0.8168274999999999,NEG,Y,"I would still want to have a <span class=""OP"">serious</span> talk with him when our relationship is more serious about my future and what it might look like!","I definitely need to find a good time to sit down and have a <span class=""OP"">serious</span> conversation with him.","But a <span class=""OP"">serious</span> conversation is long overdue.","There's absolutely no reason to unless you have some other <span class=""OP"">serious</span> medical issues that prevent it or are pregnant.","and I need a <span class=""OP"">serious</span> booster.","Other people look find but have <span class=""OP"">serious</span> mental health conditions.","A. Vumerity may cause <span class=""OP"">serious</span> side effects including: allergic reaction (such as welts, hives, or difficulty breathing);","Aubagio decides to give me any <span class=""OP"">serious</span> side effects later on.","Major infections causing <span class=""OP"">serious</span> adverse events.","I know I'll need to make <span class=""OP"">serious</span> lifestyle changes, trying to figure out where to start.","Temporary side effects (+ some potentially <span class=""OP"">serious</span> ones) vs treating a progressive illness that was clearly progressing.","Do not ever let any medical professional relegate what you deem to be <span class=""OP"">serious</span> symptoms to anxiety, migraines or any other ridiculous thing without doing the tests.","I do think weÃ¢ÂÂre due for a <span class=""OP"">serious</span> conversation-","Even with <span class=""OP"">serious</span> disability that stable life can be  a *good* life.","its bringing me a lot of upper airway infections but nothing <span class=""OP"">serious</span> so far.","non-fatal side effects are pretty damned <span class=""OP"">serious</span> as well.","I was diagnosed at 38 and up until that point had only taken birth control and hadnÃ¢ÂÂt had any <span class=""OP"">serious</span> health problems.","","","",
noticable,0.886658,NEG,Y,"My neurologist usually does no include contrast though unless there has been a <span class=""OP"">noticable</span> increase in my problems so that might make it a bit quicker.","My first very <span class=""OP"">noticable</span> symptom was optic neuritis that I let go on for about 5 days and was then put on steriods in the hospital for 3 days.","I have a very <span class=""OP"">noticable</span> case of where your pupil dilates before it constricts upon exposure to bright light (theres a medical term for it","but I'm forgetting it off the top of my head) and a <span class=""OP"">noticable</span> case of the pallor and atrophy of the nerve head they look for as clues that the patient has or has had in the past optic neuritis.","","","","","","","","","","","","","","","","",
large,0.7926868,POS,Y,"That kind of testing has <span class=""OP"">large</span> moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","IÃ¢ÂÂve had it happen to me but also my dad is a chaplain at a <span class=""OP"">large</span> hospital","There are some studies out there supporting benefits for mood and possibly neuro- plasticity and growth but not <span class=""OP"">large</span> conclusive studies.","We can't predict what people intend to do, and we receive a <span class=""OP"">large</span> amount of people attempting to make money off of the sub.","There is something so attractive about vitamins that <span class=""OP"">large</span> segments of the poplation started to overestimate their powers.","Again, to do what you're suggesting would require a very <span class=""OP"">large</span> (thousands) sample size over years, with consistent follow up from the majority to get any data that's useful, and even then the days may not even prove anything.","From what I understood it's a mass that's <span class=""OP"">large</span> enough to put pressure on the brain and cause symptoms.","1 month later I developed a <span class=""OP"">large</span> number of symptoms.","Example - I also ride very <span class=""OP"">large</span> motorcycles, which is not very 'typical' for MS patients.","If you are at a <span class=""OP"">large</span> school, they may have an MRI or partner with an entity that does - presumably so they can check on injured athletes when they need to"","I work in hospital administration for a <span class=""OP"">large</span> healthcare system.","Based on her degree, a position like this in medical staff credentialing for a <span class=""OP"">large</span> hospital system may be a fit for her.","If it doesn't cause undue hardship to the business and the business is <span class=""OP"">large</span> enough, they are required under the ADA to provide reasonable accommodation for disclosed disabilities.","I've got a <span class=""OP"">large</span> thoracic lesion too and no the feeling.","Tbh I feel like a <span class=""OP"">large</span> portion of the symptoms are spine related, being in my limbs, but he said it's unlikely","It was a <span class=""OP"">large</span> bore Ã°ÂÂ¤Â·Ã¢ÂÂÃ¢ÂÂÃ¯Â¸Â","I've been contemplating buying a <span class=""OP"">large</span> one myself as the cold really affects me.","","","",
noticeable,0.95063055,NEG,Y,"At least I had no <span class=""OP"">noticeable</span> symptoms but then again","I find that the extended release Adderall works well with me with no <span class=""OP"">noticeable</span> comedown.","Then I found out I had MS and that I have notable weakness on the left side but was really only <span class=""OP"">noticeable</span> to me through 2 muscles (quad was the other).","The stuff they give you to prevent reactions has more <span class=""OP"">noticeable</span> effects unless you are in the minority that has infusion reactions.","In those 17 years, IÃ¢ÂÂve had exactly one <span class=""OP"">noticeable</span> flare up - the original optic neuritis.","It's not <span class=""OP"">noticeable</span> at this point though so people wonder why I am not upbeat and happy.","I think it's just the <span class=""OP"">noticeable</span> difference between having energy and having my normal fatigue levels.","I had my first <span class=""OP"">noticeable</span> symptoms while pregnant.","Not <span class=""OP"">noticeable</span> to anyone else","It does come and go for me too, but it's really <span class=""OP"">noticeable</span> when it's happening.","I got my ocrevus infusion and felt a <span class=""OP"">noticeable</span> difference the next morning.","The brain has cells that will help you with recovery once you are in remission, but you might not completely recover and it could take a while before you see any <span class=""OP"">noticeable</span> recovery.","I got offered botox injections to freeze the spasming bits but they would only do one side of my face and because I was relatively young (30 at the time) and because the spasms weren't that <span class=""OP"">noticeable</span> unless I pointed them out to people and","No <span class=""OP"">noticeable</span> side effects.","The effects of this won't be <span class=""OP"">noticeable</span> year over year, but when you're mid-40's with the brain of an 80 year old, it'll definitely effect you.","I stopped G (I realise that was a massive mistake) as I had new legions, but i hadn't had a <span class=""OP"">noticeable</span> relapse.","but like you said, it was sporadic enough to not be <span class=""OP"">noticeable</span> until it just randomly peaked when I was in my first year of college.","","","",
active,0.94943833,POS,Y,"First <span class=""OP"">active</span> lesion an MRI has shown.","IÃ¢ÂÂm not saying your BF isnÃ¢ÂÂt, but it sounds like he might be having a hard time coping with you not being capable of an <span class=""OP"">active</span> lifestyle.","I am nowhere as <span class=""OP"">active</span> as I was before my MS.","Side note: just had my MRI and have two new lesions, one <span class=""OP"">active</span> one not.","The twitch discord is a bit smaller and newer yet, but the main Ms discord is fairly sizable and <span class=""OP"">active</span> at this point.","MRI showed an <span class=""OP"">active</span> lesion on T2, inactive lesions in my brain, CSF was positive for 15+ OCBs, and one of my other results they had to call back to confirm was as critically high as it said because they didnÃ¢ÂÂt think it was real","I try to keep my brain <span class=""OP"">active</span> yet it gets harder and harder.","There can be new, <span class=""OP"">active</span> lesions and no change in symptoms.","Very <span class=""OP"">Active</span> RRMS","Yes, I definitely couldn't handle <span class=""OP"">active</span> dogs.","We still have a lot to learn about the disease, but the important thing to take from this: the science has improved drastically in the last 15 years, try to not compare your situation to others as no two cases are the same, educate yourself about medications and treatments through well sourced scholarly articles, stay <span class=""OP"">active</span> and healthy.","Now I work as a behavioral therapist for children with autism, which can be a pretty <span class=""OP"">active</span> job.","What she should have said: ""It's important for you to stay as <span class=""OP"">active</span> as possible.","When my MS was really <span class=""OP"">active</span> about 5 years ago (and I wasnÃ¢ÂÂt diagnosed yet and relapsing every year)","If your wife's MS is very <span class=""OP"">active</span> and Ocrevus slows it down to just active - it's working, at a 25% slower pace.","Since we cant travel back in time to be physically <span class=""OP"">active</span> this article doesnt translate into anything helpful.",", it's only recommended for highly <span class=""OP"">active</span> cases that don't respond to other treatments.","","","",
harder,0.78516746,NEG,Y,"I have a <span class=""OP"">harder</span> time walking because my leg is heavy","I try to keep my brain active yet it gets <span class=""OP"">harder</span> and harder.","I hear cold is <span class=""OP"">harder</span> for some people with MS though.","Yes, carbs make my fatigue worse and <span class=""OP"">harder</span> to bounce back.","The main side effect of Ocrevus IS listed as increased susceptibility to respiratory viruses and increased risk of complications from them, meaning it's <span class=""OP"">harder</span> to fight them off.","Any DMT that suppresses your immune system has the capability to make it <span class=""OP"">harder</span> to fight off infections, no matter what they are, though, and since Tysabri does increase your risk of infection, I would think it falls under that.","Over time, no matter how often I did it or how many breaks I took I have gotten worse and it has become <span class=""OP"">harder</span> and harder.","But my body only fights me <span class=""OP"">harder</span> if I push.","Tecfidera has treated me well, but I want something <span class=""OP"">harder</span> hitting.","and it's getting <span class=""OP"">harder</span> and harder to be patient with my classes.","I'ts getting <span class=""OP"">harder</span> to push through on the pain days.","If I had been bit <span class=""OP"">harder</span> by MS","I'm sure I would have wanted something <span class=""OP"">harder</span> hitting than Copaxone (which, as a few people have pointed out, is one of the less effective DMTs at warding off relapses).","I do find the more I stress about it, the <span class=""OP"">harder</span> it is.","i'm having a <span class=""OP"">harder</span> and harder time not pulling the trigger and switching to Ocrevus.","You will have to work <span class=""OP"">harder</span> than everyone else but it will be worth it!","Sometimes people suffering debilitating illness or a bad injury that makes it <span class=""OP"">harder</span> for them to get around also experience this.","","","",
immune,0.7962254,NEG,Y,"The steroids are supposed to sort of be a reset on your <span class=""OP"">immune</span> system and doctors prescribe them hoping that it will stop the relapse in its tracks.","A foetus would be seen by the body as a foreign object, so the body quietens the <span class=""OP"">immune</span> system to stop it being rejected.","Not impacting the <span class=""OP"">immune</span> system would tempt me to switch for RRMS.","It likely develops as an inappropriate <span class=""OP"">immune</span> response to an EBV or other herpes virus infection.","I do try to eat lots of vegetables and fish to help naturally boost my <span class=""OP"">immune</span> system.","TB isn't something they want to progress when you get your <span class=""OP"">immune</span> system suppressed.","As I understand it, white matter lesions can form in the brain when the blood brain barrier is broke down enough to let the <span class=""OP"">immune</span> system in, the immune system then attacks the myelin in the csn/brain.","what so ever then the doc goes auto <span class=""OP"">immune</span> diseases","ItÃ¢ÂÂs an auto- <span class=""OP"">immune</span> disease.","Your <span class=""OP"">immune</span> system is compromised.","If you have MS, the MRI won't tell you ""whatever is wrong"", it is used to detect areas in the brain where the myelin sheath has been damaged by your <span class=""OP"">immune</span> system.","He said the only reason he would take me off of it is if I develop more than a reasonable amount of infections (like bronchitis), if it doesnÃ¢ÂÂt work for me (more lesions), or if my <span class=""OP"">immune</span> system gets too weak (he hasnÃ¢ÂÂt seen this happen yet).","so sorry you donÃ¢ÂÂt have a supportive partner at the moment to go through this; and that you had to find out about his defectiveness at the same time you found out that your <span class=""OP"">immune</span> system is very deeply confused","I didnÃ¢ÂÂt get much done last week because the round of steroids fogged up my brain and IÃ¢ÂÂm starting lemtrada soon too, so I may have to pause the job search while my <span class=""OP"">immune</span> system recovers...","Any DMT that suppresses your <span class=""OP"">immune</span> system has the capability to make it harder to fight off infections, no matter what they are, though, and since Tysabri does increase your risk of infection, I would think it falls under that.","Most of the DMT's out there either give the latent <span class=""OP"">immune</span> system something to chew on without activating or stop it from getting places that trigger it.","You might need to wash hands more, but more because some of the medications lowers your <span class=""OP"">immune</span> response.","","","",
high,0.9824245999999999,POS,Y,"I had come off Gilenya, the MS nurse should of been on <span class=""OP"">high</span> alert for a rebound relapse","Mine is <span class=""OP"">high</span> up.","ItÃ¢ÂÂs pretty <span class=""OP"">high</span> pressure.","MRI showed an active lesion on T2, inactive lesions in my brain, CSF was positive for 15+ OCBs, and one of my other results they had to call back to confirm was as critically <span class=""OP"">high</span> as it said because they didnÃ¢ÂÂt think it was real","Not a <span class=""OP"">high</span> risk, but it is a rare possibility.","I have to eat <span class=""OP"">high</span> fat food and take Tec.","IÃ¢ÂÂm shocked they are putting you on such an old school medication especially considering your <span class=""OP"">high</span> flare up rate!",""Make sure she gets a Vit D suppliment (2000ui/day, no more) and a <span class=""OP"">high</span> dose biotin (100mg/day or so - NOT MCG).","If your neuro thinks you're a good fit for Ocrevus, then the chances are very <span class=""OP"">high</span> that it'll go off without a hitch.","Greens tend to be <span class=""OP"">high</span> in vitamin A which is directly related to vision.","Ocrevus is held in very <span class=""OP"">high</span> regards because of how incredibly effective it is.","Some DMTs are <span class=""OP"">high</span> risk when it concerns JCV, others are lower.","I was given <span class=""OP"">high</span> doses of prednisone to come down off the steroids and they destroyed my stomach","I work in a <span class=""OP"">high</span> stress job and typically 14 hour days.","was so <span class=""OP"">high</span> it shot out and hit the wall.","It sounds like it works the same way that <span class=""OP"">high</span> dose biotin does.","I was on insulin for like 3 months and a good practice isnt going to let you play with gestational diabetes, if you cant or dont keep it controlled theres an extremely <span class=""OP"">high</span> chance of an emergent delivery.","","","",
alert,0.95490426,NEG,Y,"I had come off Gilenya, the MS nurse should of been on high <span class=""OP"">alert</span> for a rebound relapse","I tend to stick to low doses throughout the day so I can be <span class=""OP"">alert</span> but avoid the flying high swings of amphetamines.","Read at the times where you are more <span class=""OP"">alert</span> and focused and minimize distractions.","Modafinil helped me focus enough to write a thesis a few years ago, making me feel <span class=""OP"">alert</span> and sharp.","The amount of medication it required to keep me <span class=""OP"">alert</span> and focused enough to fill medications on a 12 hour solo shift was bordering on irresponsible, and I still had a notebook on my bench full of notes I had to make for myself so nothing got overlooked/missed because I have discovered I can't multitask and remember things like I used to.","","","","","","","","","","","","","","","",
massive,0.999656,NEG,Y,"I've had anxiety attacks and <span class=""OP"">massive</span> mood swings.","I took tec for about 18 months after ending up in a&e after a <span class=""OP"">massive</span> hypersensitivity reaction to copaxone and I flushed about twice a week after the first month during which time I flushed after every dose no matter what or how much I'd eaten first.","The main problems I had was <span class=""OP"">massive</span> welts at the injection site and permanent dents in your fatty areas.","ItÃ¢ÂÂs honestly like a body builder is giving you a <span class=""OP"">massive</span> hug!","No <span class=""OP"">massive</span> appetite.","Kids take a <span class=""OP"">massive</span> amount of energy and resources for normal people so I can't imagine having them and MS personally but best of luck to you guys.","I never left work early until I had a <span class=""OP"">massive</span> relapse that put me in the hospital for a week","Good luck with your fight against M.S and give yourself a <span class=""OP"">massive</span> pat on the back for doing 3 loads of washing.","For what itÃ¢ÂÂs worth, my symptoms continue to very gradually improve for about 7-8 months after the <span class=""OP"">massive</span> relapse that got me diagnosed last October.","It's been almost 10 months since that <span class=""OP"">massive</span> flare up.","In those 26 years, the medications have had <span class=""OP"">massive</span> leaps in efficacy.","Before Ocrevus I had literally every two months a <span class=""OP"">massive</span> flare up.","""f*ckity bye you <span class=""OP"">massive</span> twat"" and walking out.","Being newly diagnosed can be a <span class=""OP"">massive</span> shock, but there will be a time when you both will have adjusted.","Stopping smoking by itself makes <span class=""OP"">massive</span> changes to your body, so I wouldn't be surprised if that had a lot to do with your energy levels, but certainly losing weight and eating healthier will do that as well.","ItÃ¢ÂÂs a perfectly valid response to a <span class=""OP"">massive</span> change happening to you that you have little control over.","and Gabapentin was the only thing that seemed to take the edge off but only at high doses, which gave me <span class=""OP"">massive</span> brain fog.","","","",
